f,Very Strong,Strong,Moderate,Weak,Very Weak
lin,0.87,0.77,0.67,0.57,0
exp,0.88,0.78,0.68,0.58,0
log,0.89,0.79,0.69,0.59,0
pot,0.9,0.8,0.7,0.6,0
